Text
"<s>[INST] I want to shoot an action sequence in New York city. I need a train station, police station, bus station and an indoor mall. Classify on the basis of genre, location type, geo location, distance, time of year, vehicles, props, products and special instructions in json form. [/INST] \n\nExample: {\n  ""genre"": ""Action, adventure"",\n  ""location_type"": [""Train station"", ""Police station"", ""Bus station"", ""Indoor mall""],\n  ""geo_location"": ""New York City"",\n  ""distance"": ""none specified"",\n  ""time_of_year"": ""none specified"",\n  ""vehicles"": [""Train"", ""Police car"", ""Bus""],\n  ""props"": ""none specified"",\n  ""products"": ""none specified"",\n  ""special_instructions"": ""none specified""\n} </s>"
"<s>[INST] I want to shoot 3-4 sports scenes involving a baseball stadium, a nearby hotel preferrably near downtown in November. Classify on the basis of genre, location type, geo location, distance, time of year, vehicles, props, products and special instructions in json form. [/INST] \n\nExample: {\n  ""genre"": ""sports"",\n  ""location_type"": [""Baseball stadium"", ""hotel"", ""downtown""],\n  ""geo_location"": ""none specified"",\n  ""distance"": ""5 miles (implied)"",\n  ""time_of_year"": ""November"",\n  ""vehicles"": ""none specified"",\n  ""props"": ""none specified"",\n  ""products"": ""none specified"",\n  ""special_instructions"": ""none specified""\n} </s>"
"<s>[INST] I am looking for a 50's vintage car and a victorian house with a horse stable either near Austin, Dallas or Houston. Classify on the basis of genre, location type, geo location, distance, time of year, vehicles, props, products and special instructions in json form. [/INST] \n\nExample: {\n  ""genre"": ""Period, Drama"",\n  ""location_type"": [""Victorian House"", ""Horse stable""],\n  ""geo_location"": [""Austin"", ""Dallas"", ""Houston""],\n  ""distance"": ""20 miles (implied)"",\n  ""time_of_year"": ""none specified"",\n  ""vehicles"": ""any vintage car from 20's"",\n  ""props"": ""none specified"",\n  ""products"": ""none specified"",\n  ""special_instructions"": ""none specified""\n} </s>"
"<s>[INST] I would like to shoot a legal drama with a few scenes involving a courtroom, police station and a correction facility. The scenes involve handcuffed inmates, police cars, prison vans, uniformed police, jury and lawyers. Classify on the basis of genre, location type, geo location, distance, time of year, vehicles, props, products and special instructions in json form. [/INST] \n\nExample: {\n  ""genre"": ""drama"",\n  ""location_type"": [""Courtroom"", ""police station"", ""correction facility (prison)""],\n  ""geo_location"": ""none specified"",\n  ""distance"": ""none specified"",\n  ""time_of_year"": ""none specified"",\n  ""vehicles"": [""Police car"", ""police van""],\n  ""props"": [""Handcuffs"", ""police uniforms""],\n  ""products"": [""Handcuffs"", ""police uniforms""],\n  ""special_instructions"": ""Need jury and lawyers""\n} </s>"
"<s>[INST] I am looking to shoot a few scenes including a sports sequence on ski slopes and a few indoor scenes in a restaurant and a ski resort in February. I prefer California, Oragon or Colorado for shooting. Classify on the basis of genre, location type, geo location, distance, time of year, vehicles, props, products and special instructions in json form. [/INST] \n\nExample: {\n  ""genre"": ""sports"",\n  ""location_type"": [""Ski slope"", ""restaurant"", ""ski resort""],\n  ""geo_location"": [""California"", ""Oregon"", ""Colorado""],\n  ""distance"": ""none specified"",\n  ""time_of_year"": ""February"",\n  ""vehicles"": ""ski lift"",\n  ""props"": ""ski equipment (implied), snow"",\n  ""products"": ""ski equipment (implied)"",\n  ""special_instructions"": ""none specified""\n} </s>"
"<s>[INST] I have to shoot wedding scenes inside a church, with the couple leaving in a stretch limo for their honeymoon. Classify on the basis of genre, location type, geo location, distance, time of year, vehicles, props, products and special instructions in json form. [/INST] \n\nExample: {\n  ""genre"": ""drama"",\n  ""location_type"": ""church"",\n  ""geo_location"": ""none specified"",\n  ""distance"": ""none specified"",\n  ""time_of_year"": ""none specified"",\n  ""vehicles"": ""stretch limo"",\n  ""props"": [""Wedding accessories (implied)"", ""decoration (implied)"", ""wedding dresses (implied)""],\n  ""products"": [""Wedding accessories (implied)"", ""decoration (implied)"", ""wedding dresses (implied)""],\n  ""special_instructions"": ""none specified""\n} </s>"
"<s>[INST] I want to shoot a song in July with shooting in downtown streets with availability ambulance, open top bus and convertible car. Bright colorful flowers, baloons, cake and wreaths will be required too. Classify on the basis of genre, location type, geo location, distance, time of year, vehicles, props, products and special instructions in json form. [/INST] \n\nExample: {\n  ""genre"": ""Romcom, Drama"",\n  ""location_type"": [""Downtown"", ""streets""],\n  ""geo_location"": ""none specified"",\n  ""distance"": ""5 miles"",\n  ""time_of_year"": ""July"",\n  ""vehicles"": [""Ambulance"", ""Open top bus"", ""convertible car""],\n  ""props"": [""bright flowers"", ""balloons"", ""cake"", ""wreaths""],\n  ""products"": [""bright flowers"", ""balloons"", ""cake"", ""wreaths""],\n  ""special_instructions"": ""none specified""\n} </s>"
"<s>[INST] I want to shoot an advertisement at a small airport with a small airplane and an airport bus. The preferred location is Atlanta, Georgia. Classify on the basis of genre, location type, geo location, distance, time of year, vehicles, props, products and special instructions in json form. [/INST] \n\nExample: {\n  ""genre"": ""advertisement"",\n  ""location_type"": ""Airport (Small)"",\n  ""geo_location"": ""Atlanta, Georgia"",\n  ""distance"": ""none specified"",\n  ""time_of_year"": ""none specified"",\n  ""vehicles"": [""Airplane"", ""Airport bus""],\n  ""props"": ""none specified"",\n  ""products"": ""none specified"",\n  ""special_instructions"": ""none specified""\n} </s>"
"<s>[INST] I want to shoot a period drama in a botanical garden, a zoo and a beach in winter months but don't need snow. Classify on the basis of genre, location type, geo location, distance, time of year, vehicles, props, products and special instructions in json form. [/INST] \n\nExample: {\n  ""genre"": ""period, drama"",\n  ""location_type"": [""botanical garden"", ""zoo"", ""beach""],\n  ""geo_location"": ""warmer locations as winter is specified (implied)"",\n  ""distance"": ""none specified"",\n  ""time_of_year"": ""winter"",\n  ""vehicles"": ""none specified"",\n  ""props"": ""none specified"",\n  ""products"": ""none specified"",\n  ""special_instructions"": ""Don't need snow hence implying locations without possibility of snow""\n} </s>"
"<s>[INST] I want to shoot a few scenes in which actors enact playing in a broadway show. There would be a scene involving broadway avenue in New York on a bright summer day. Classify on the basis of genre, location type, geo location, distance, time of year, vehicles, props, products and special instructions in json form. [/INST] \n\nExample: {\n  ""genre"": ""Drama (implied)"",\n  ""location_type"": [""Broadway theatre"", ""Broadway avenue""],\n  ""geo_location"": ""New York City"",\n  ""distance"": ""none specified"",\n  ""time_of_year"": ""summer"",\n  ""vehicles"": ""none specified"",\n  ""props"": ""none specified"",\n  ""products"": ""none specified"",\n  ""special_instructions"": ""none specified""\n} </s>"
